               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12323,            0.023207,                   0,           0.0097448,             0.65607,            0.011969,           0.0042541,            0.080326,            0.015332,                   0,              0.0991,              0.0001,              0.0001
                   1,             0.12984,            0.017414,                   0,           0.0092516,                 0.5,            0.013624,           0.0041152,            0.078955,            0.015523,                   0,            0.097298,          0.00029802,          0.00029802
                   2,             0.10275,            0.020222,                   0,           0.0091657,                 0.5,             0.01696,           0.0041255,            0.077324,            0.015729,                   0,            0.095493,           0.0004934,           0.0004934
                   3,             0.12487,            0.017234,                   0,           0.0097934,                 0.5,            0.012831,           0.0036731,             0.07541,            0.015873,                   0,            0.093686,          0.00068614,          0.00068614
                   4,             0.12341,            0.018419,                   0,           0.0033333,             0.83333,            0.012982,           0.0036394,            0.073696,            0.015908,                   0,            0.091876,          0.00087624,          0.00087624
                   5,            0.077232,            0.015926,                   0,           0.0033333,             0.83333,            0.014445,           0.0039106,            0.072285,            0.015827,                   0,            0.090064,           0.0010637,           0.0010637
                   6,              0.1073,            0.021938,                   0,               0.004,                   1,            0.015688,           0.0042374,            0.071215,            0.015737,                   0,            0.088249,           0.0012485,           0.0012485
                   7,             0.11642,            0.020379,                   0,           0.0040597,                   1,            0.016032,           0.0040906,            0.070115,            0.015718,                   0,            0.086431,           0.0014307,           0.0014307
                   8,            0.069905,            0.015714,                   0,           0.0039225,             0.83333,             0.01788,           0.0042655,            0.069006,            0.015783,                   0,             0.08461,           0.0016102,           0.0016102
                   9,             0.11062,            0.027967,                   0,           0.0069272,             0.83333,            0.020773,           0.0047931,            0.067752,            0.015821,                   0,            0.082787,           0.0017871,           0.0017871
                  10,            0.099322,            0.014888,                   0,           0.0095743,             0.66667,            0.016492,           0.0045984,            0.066698,            0.015747,                   0,            0.080961,           0.0019614,           0.0019614
                  11,            0.098855,            0.024437,                   0,            0.016561,             0.66667,            0.024989,           0.0057146,            0.065414,            0.015793,                   0,            0.079133,            0.002133,            0.002133
                  12,            0.092868,            0.016702,                   0,            0.021324,             0.66667,            0.027427,           0.0071962,             0.06379,            0.015734,                   0,            0.077302,            0.002302,            0.002302
                  13,              0.1039,            0.021331,                   0,            0.026833,             0.33333,            0.033642,            0.010908,            0.063052,            0.015651,                   0,            0.075468,           0.0024683,           0.0024683
                  14,            0.098763,            0.021001,                   0,            0.020608,             0.16667,             0.03875,            0.018062,            0.062052,            0.015517,                   0,            0.073632,            0.002632,            0.002632
                  15,            0.086073,            0.016865,                   0,            0.045396,             0.16667,            0.040092,            0.021554,            0.061273,            0.015257,                   0,            0.071793,           0.0027931,           0.0027931
                  16,            0.090047,            0.031296,                   0,            0.053594,             0.16667,            0.052849,            0.028652,             0.06027,            0.014984,                   0,            0.069952,           0.0029515,           0.0029515
                  17,            0.087068,            0.034825,                   0,            0.061051,             0.16667,            0.084079,            0.033428,            0.058472,             0.01488,                   0,            0.068107,           0.0031073,           0.0031073
                  18,            0.092402,            0.028397,                   0,              0.1581,             0.16667,             0.13808,            0.052782,            0.056272,            0.014709,                   0,             0.06626,           0.0032604,           0.0032604
                  19,            0.053873,            0.019013,                   0,             0.36118,             0.16667,             0.12592,            0.052738,             0.05496,            0.014468,                   0,            0.064411,           0.0034109,           0.0034109
                  20,            0.075894,            0.018811,                   0,             0.28611,             0.16667,             0.14015,            0.050055,            0.053631,            0.014241,                   0,            0.062559,           0.0035588,           0.0035588
                  21,            0.085204,            0.022297,                   0,             0.38951,             0.33333,             0.17949,             0.05515,            0.054254,            0.013857,                   0,            0.060704,            0.003704,            0.003704
                  22,            0.056378,            0.019031,                   0,             0.33461,             0.33333,             0.19302,             0.04649,            0.054731,            0.013648,                   0,            0.058847,           0.0038466,           0.0038466
                  23,            0.079071,            0.032312,                   0,            0.083398,                 0.5,             0.21357,            0.063018,            0.053534,            0.013583,                   0,            0.056987,           0.0039865,           0.0039865
                  24,            0.077025,            0.020719,                   0,            0.061521,                 0.5,             0.14019,            0.058191,            0.053245,            0.013381,                   0,            0.055124,           0.0041238,           0.0041238
                  25,            0.079312,            0.031859,                   0,            0.037115,             0.33333,            0.069804,            0.032922,            0.051739,            0.013297,                   0,            0.053259,           0.0042585,           0.0042585
                  26,            0.059283,            0.021789,                   0,             0.15354,             0.33333,               0.184,            0.053028,            0.049198,            0.013454,                   0,            0.051391,           0.0043905,           0.0043905
                  27,            0.051085,            0.018861,                   0,             0.15354,             0.33333,               0.184,            0.053028,            0.049198,            0.013454,                   0,             0.04952,           0.0045199,           0.0045199
                  28,            0.073878,             0.02618,                   0,            0.087275,             0.16667,             0.25659,             0.06038,            0.047959,             0.01327,                   0,            0.047647,           0.0046466,           0.0046466
                  29,            0.069392,             0.01967,                   0,             0.14866,             0.16667,              0.1723,            0.040819,            0.048152,            0.013017,                   0,            0.045771,           0.0047707,           0.0047707
                  30,            0.077849,            0.045231,                   0,             0.14866,             0.16667,              0.1723,            0.040819,            0.048152,            0.013017,                   0,            0.043892,           0.0048922,           0.0048922
                  31,            0.080939,            0.022167,                   0,             0.17431,             0.16667,             0.17972,            0.056539,            0.046414,            0.013013,                   0,            0.042011,            0.005011,            0.005011
                  32,            0.071966,            0.026556,                   0,             0.12274,             0.66667,             0.15598,            0.045801,            0.045732,            0.013089,                   0,            0.040127,           0.0051272,           0.0051272
                  33,            0.071396,            0.024467,                   0,             0.12274,             0.66667,             0.15598,            0.045801,            0.045732,            0.013089,                   0,            0.038241,           0.0052407,           0.0052407
                  34,            0.075339,            0.025339,                   0,             0.19118,             0.16667,             0.15528,            0.028141,            0.048234,            0.012842,                   0,            0.036352,           0.0053516,           0.0053516
                  35,            0.045095,            0.016451,                   0,             0.11184,                 0.5,             0.18395,            0.055732,             0.04593,            0.012995,                   0,             0.03446,           0.0054599,           0.0054599
                  36,            0.067819,            0.031688,                   0,             0.11184,                 0.5,             0.18395,            0.055732,             0.04593,            0.012995,                   0,            0.032566,           0.0055655,           0.0055655
                  37,            0.055398,            0.020934,                   0,             0.28009,             0.16667,             0.17106,            0.043975,            0.046528,            0.012873,                   0,            0.030669,           0.0056685,           0.0056685
                  38,             0.07172,            0.029616,                   0,              0.1847,             0.45538,              0.2221,            0.050762,            0.046679,            0.013017,                   0,            0.028769,           0.0057688,           0.0057688
                  39,            0.051802,            0.018735,                   0,              0.1847,             0.45538,              0.2221,            0.050762,            0.046679,            0.013017,                   0,            0.026867,           0.0058665,           0.0058665
                  40,            0.061977,            0.020818,                   0,             0.23104,             0.16667,             0.18595,            0.051551,            0.046479,            0.012765,                   0,            0.024962,           0.0059616,           0.0059616
                  41,            0.064797,            0.025353,                   0,             0.32545,             0.33333,             0.29524,            0.054538,            0.046275,            0.013124,                   0,            0.023054,            0.006054,            0.006054
                  42,            0.066956,            0.025049,                   0,             0.32545,             0.33333,             0.29524,            0.054538,            0.046275,            0.013124,                   0,            0.021144,           0.0061438,           0.0061438
                  43,            0.060376,            0.022986,                   0,             0.44942,             0.33333,             0.40871,             0.11993,            0.046338,            0.013188,                   0,            0.019231,           0.0062309,           0.0062309
                  44,            0.052695,            0.026989,                   0,             0.44942,             0.33333,             0.40871,             0.11993,            0.046338,            0.013188,                   0,            0.017315,           0.0063154,           0.0063154
                  45,            0.055485,            0.020193,                   0,             0.20314,                 0.5,              0.2262,             0.05283,            0.045022,            0.012982,                   0,            0.015397,           0.0063973,           0.0063973
                  46,            0.065974,            0.026859,                   0,             0.20314,                 0.5,              0.2262,             0.05283,            0.045022,            0.012982,                   0,            0.013477,           0.0064765,           0.0064765
                  47,            0.055342,            0.017996,                   0,            0.067389,             0.66667,            0.051392,            0.023753,            0.049336,            0.013244,                   0,            0.011553,           0.0065531,           0.0065531
                  48,            0.059043,            0.017094,                   0,            0.067389,             0.66667,            0.051392,            0.023753,            0.049336,            0.013244,                   0,            0.009627,            0.006627,            0.006627
                  49,            0.066083,            0.031191,                   0,             0.35202,             0.66667,             0.44962,             0.15949,            0.043273,            0.013154,                   0,           0.0076983,           0.0066983,           0.0066983
                  50,            0.050045,            0.026176,                   0,             0.35202,             0.66667,             0.44962,             0.15949,            0.043273,            0.013154,                   0,              0.0067,              0.0067,              0.0067
                  51,            0.059145,            0.029089,                   0,             0.43153,             0.83333,             0.41564,            0.074395,            0.046739,            0.012997,                   0,              0.0067,              0.0067,              0.0067
                  52,            0.061683,            0.028573,                   0,             0.43153,             0.83333,             0.41564,            0.074395,            0.046739,            0.012997,                   0,            0.006634,            0.006634,            0.006634
                  53,            0.056083,            0.020359,                   0,             0.35079,             0.66667,             0.37804,             0.11586,            0.044949,             0.01283,                   0,            0.006568,            0.006568,            0.006568
                  54,            0.049039,            0.018976,                   0,             0.35079,             0.66667,             0.37804,             0.11586,            0.044949,             0.01283,                   0,            0.006502,            0.006502,            0.006502
                  55,            0.047235,            0.019544,                   0,             0.45536,             0.33333,             0.30845,            0.094532,            0.040764,            0.012849,                   0,            0.006436,            0.006436,            0.006436
                  56,            0.054484,            0.021153,                   0,             0.45536,             0.33333,             0.30845,            0.094532,            0.040764,            0.012849,                   0,             0.00637,             0.00637,             0.00637
                  57,            0.028402,             0.01348,                   0,             0.64351,                 0.5,             0.60129,             0.15206,            0.046573,            0.013058,                   0,            0.006304,            0.006304,            0.006304
                  58,            0.058981,            0.032254,                   0,             0.64351,                 0.5,             0.60129,             0.15206,            0.046573,            0.013058,                   0,            0.006238,            0.006238,            0.006238
                  59,            0.058888,            0.018697,                   0,             0.56507,             0.83333,               0.665,             0.12893,            0.041012,            0.013163,                   0,            0.006172,            0.006172,            0.006172
                  60,            0.056354,            0.029235,                   0,             0.56507,             0.83333,               0.665,             0.12893,            0.041012,            0.013163,                   0,            0.006106,            0.006106,            0.006106
                  61,            0.065775,            0.016271,                   0,              0.3689,             0.66667,             0.48976,             0.13264,            0.041928,            0.013142,                   0,             0.00604,             0.00604,             0.00604
                  62,            0.072444,            0.030266,                   0,              0.3689,             0.66667,             0.48976,             0.13264,            0.041928,            0.013142,                   0,            0.005974,            0.005974,            0.005974
                  63,            0.060889,            0.018934,                   0,              0.5151,                 0.5,              0.4901,             0.13511,            0.041661,            0.012529,                   0,            0.005908,            0.005908,            0.005908
                  64,             0.03995,            0.016328,                   0,              0.5151,                 0.5,              0.4901,             0.13511,            0.041661,            0.012529,                   0,            0.005842,            0.005842,            0.005842
                  65,            0.050648,            0.014165,                   0,             0.50132,                 0.5,             0.57867,             0.15385,            0.040981,            0.012657,                   0,            0.005776,            0.005776,            0.005776
                  66,            0.060174,            0.031129,                   0,             0.50132,                 0.5,             0.57867,             0.15385,            0.040981,            0.012657,                   0,             0.00571,             0.00571,             0.00571
                  67,            0.035246,            0.014031,                   0,             0.80149,             0.66667,              0.7443,             0.15038,            0.040838,            0.013005,                   0,            0.005644,            0.005644,            0.005644
                  68,            0.051804,            0.017229,                   0,             0.80149,             0.66667,              0.7443,             0.15038,            0.040838,            0.013005,                   0,            0.005578,            0.005578,            0.005578
                  69,            0.055671,            0.017984,                   0,             0.72735,                 0.5,             0.67795,             0.20572,             0.03768,            0.012463,                   0,            0.005512,            0.005512,            0.005512
                  70,            0.054529,            0.025467,                   0,             0.72735,                 0.5,             0.67795,             0.20572,             0.03768,            0.012463,                   0,            0.005446,            0.005446,            0.005446
                  71,            0.059133,              0.0256,                   0,             0.61582,             0.83333,             0.66468,             0.15983,            0.035621,            0.012134,                   0,             0.00538,             0.00538,             0.00538
                  72,            0.056186,            0.021148,                   0,             0.61582,             0.83333,             0.66468,             0.15983,            0.035621,            0.012134,                   0,            0.005314,            0.005314,            0.005314
                  73,            0.049256,            0.022995,                   0,              0.6013,             0.83333,               0.689,             0.21418,            0.036826,            0.011122,                   0,            0.005248,            0.005248,            0.005248
                  74,            0.038745,            0.017229,                   0,              0.6013,             0.83333,               0.689,             0.21418,            0.036826,            0.011122,                   0,            0.005182,            0.005182,            0.005182
                  75,            0.051454,            0.029114,                   0,             0.70655,             0.80624,             0.78513,             0.22805,            0.036142,            0.010769,                   0,            0.005116,            0.005116,            0.005116
                  76,            0.056195,            0.023657,                   0,             0.70655,             0.80624,             0.78513,             0.22805,            0.036142,            0.010769,                   0,             0.00505,             0.00505,             0.00505
                  77,            0.047462,            0.027076,                   0,             0.63126,             0.66667,                0.72,             0.17824,             0.03836,            0.010177,                   0,            0.004984,            0.004984,            0.004984
                  78,            0.035116,            0.015108,                   0,             0.63126,             0.66667,                0.72,             0.17824,             0.03836,            0.010177,                   0,            0.004918,            0.004918,            0.004918
                  79,            0.058327,             0.02461,                   0,             0.55414,             0.66667,             0.60673,             0.19982,             0.03876,            0.010046,                   0,            0.004852,            0.004852,            0.004852
                  80,            0.041449,            0.016085,                   0,             0.55414,             0.66667,             0.60673,             0.19982,             0.03876,            0.010046,                   0,            0.004786,            0.004786,            0.004786
                  81,             0.04293,            0.025151,                   0,             0.62302,             0.66667,             0.53138,             0.14998,            0.039821,           0.0097183,                   0,             0.00472,             0.00472,             0.00472
                  82,            0.033522,            0.014887,                   0,             0.62302,             0.66667,             0.53138,             0.14998,            0.039821,           0.0097183,                   0,            0.004654,            0.004654,            0.004654
                  83,            0.042578,            0.014958,                   0,             0.54136,             0.66667,              0.6902,             0.17447,            0.038694,           0.0097293,                   0,            0.004588,            0.004588,            0.004588
                  84,            0.042065,            0.018081,                   0,             0.54136,             0.66667,              0.6902,             0.17447,            0.038694,           0.0097293,                   0,            0.004522,            0.004522,            0.004522
                  85,            0.050627,            0.024358,                   0,             0.49497,             0.66667,             0.56648,             0.18781,            0.038346,           0.0097439,                   0,            0.004456,            0.004456,            0.004456
                  86,            0.047155,            0.013504,                   0,             0.49497,             0.66667,             0.56648,             0.18781,            0.038346,           0.0097439,                   0,             0.00439,             0.00439,             0.00439
                  87,            0.059736,            0.018722,                   0,             0.59082,             0.66667,             0.62772,             0.23491,            0.037724,            0.009663,                   0,            0.004324,            0.004324,            0.004324
                  88,            0.053507,            0.020735,                   0,             0.59082,             0.66667,             0.62772,             0.23491,            0.037724,            0.009663,                   0,            0.004258,            0.004258,            0.004258
                  89,            0.044934,            0.013704,                   0,             0.47426,                   1,             0.63071,             0.24237,            0.038227,           0.0099146,                   0,            0.004192,            0.004192,            0.004192
                  90,            0.047383,            0.022967,                   0,             0.47426,                   1,             0.63071,             0.24237,            0.038227,           0.0099146,                   0,            0.004126,            0.004126,            0.004126
                  91,            0.041661,            0.016266,                   0,             0.59193,             0.66667,             0.67667,             0.23725,            0.036484,           0.0097582,                   0,             0.00406,             0.00406,             0.00406
                  92,            0.057971,            0.018435,                   0,             0.59193,             0.66667,             0.67667,             0.23725,            0.036484,           0.0097582,                   0,            0.003994,            0.003994,            0.003994
                  93,            0.043656,            0.017961,                   0,             0.42918,             0.83333,             0.51314,             0.16882,            0.038462,            0.010071,                   0,            0.003928,            0.003928,            0.003928
                  94,            0.055047,            0.013571,                   0,             0.42918,             0.83333,             0.51314,             0.16882,            0.038462,            0.010071,                   0,            0.003862,            0.003862,            0.003862
                  95,            0.027781,            0.011274,                   0,             0.61411,             0.66667,             0.60022,             0.20653,            0.035567,            0.010049,                   0,            0.003796,            0.003796,            0.003796
                  96,            0.037099,            0.017676,                   0,             0.61411,             0.66667,             0.60022,             0.20653,            0.035567,            0.010049,                   0,             0.00373,             0.00373,             0.00373
                  97,             0.04423,            0.017378,                   0,             0.42577,             0.86713,             0.56077,             0.18902,            0.036318,            0.010165,                   0,            0.003664,            0.003664,            0.003664
                  98,            0.032435,            0.014683,                   0,             0.42577,             0.86713,             0.56077,             0.18902,            0.036318,            0.010165,                   0,            0.003598,            0.003598,            0.003598
                  99,             0.04556,            0.019436,                   0,             0.63995,             0.66667,             0.60675,             0.19299,            0.035608,            0.010058,                   0,            0.003532,            0.003532,            0.003532
                 100,            0.051814,            0.029384,                   0,             0.63995,             0.66667,             0.60675,             0.19299,            0.035608,            0.010058,                   0,            0.003466,            0.003466,            0.003466
                 101,            0.045918,            0.019251,                   0,             0.60474,             0.51185,              0.6124,             0.22284,            0.036185,           0.0099307,                   0,              0.0034,              0.0034,              0.0034
                 102,            0.042127,            0.016103,                   0,             0.60474,             0.51185,              0.6124,             0.22284,            0.036185,           0.0099307,                   0,            0.003334,            0.003334,            0.003334
                 103,            0.043248,            0.028887,                   0,             0.78642,             0.62139,             0.61445,             0.24053,            0.036946,           0.0096399,                   0,            0.003268,            0.003268,            0.003268
                 104,            0.039672,            0.019911,                   0,             0.78642,             0.62139,             0.61445,             0.24053,            0.036946,           0.0096399,                   0,            0.003202,            0.003202,            0.003202
                 105,            0.051503,            0.016164,                   0,             0.77693,             0.58977,             0.67893,             0.20433,            0.036441,           0.0096014,                   0,            0.003136,            0.003136,            0.003136
                 106,            0.045037,            0.019729,                   0,             0.77693,             0.58977,             0.67893,             0.20433,            0.036441,           0.0096014,                   0,             0.00307,             0.00307,             0.00307
                 107,            0.051709,            0.017517,                   0,             0.48735,             0.66667,             0.54946,             0.18848,            0.035879,           0.0094944,                   0,            0.003004,            0.003004,            0.003004
                 108,            0.031501,            0.015115,                   0,             0.48735,             0.66667,             0.54946,             0.18848,            0.035879,           0.0094944,                   0,            0.002938,            0.002938,            0.002938
                 109,             0.03375,             0.01683,                   0,             0.41642,                 0.5,             0.30792,             0.13481,            0.035667,           0.0094551,                   0,            0.002872,            0.002872,            0.002872
                 110,            0.045181,            0.017711,                   0,             0.41642,                 0.5,             0.30792,             0.13481,            0.035667,           0.0094551,                   0,            0.002806,            0.002806,            0.002806
                 111,            0.045563,            0.015798,                   0,             0.49939,             0.66667,             0.49013,             0.14311,            0.035213,           0.0094464,                   0,             0.00274,             0.00274,             0.00274
                 112,            0.043603,            0.019994,                   0,             0.49939,             0.66667,             0.49013,             0.14311,            0.035213,           0.0094464,                   0,            0.002674,            0.002674,            0.002674
                 113,            0.047487,            0.023069,                   0,             0.60116,             0.66667,             0.52059,             0.18298,            0.034966,            0.009402,                   0,            0.002608,            0.002608,            0.002608
                 114,            0.038204,            0.021171,                   0,             0.60116,             0.66667,             0.52059,             0.18298,            0.034966,            0.009402,                   0,            0.002542,            0.002542,            0.002542
                 115,            0.053576,            0.014588,                   0,             0.46961,                 0.5,             0.30229,             0.13538,            0.035288,           0.0094292,                   0,            0.002476,            0.002476,            0.002476
                 116,            0.041358,            0.018788,                   0,             0.46961,                 0.5,             0.30229,             0.13538,            0.035288,           0.0094292,                   0,             0.00241,             0.00241,             0.00241
                 117,            0.044613,            0.020067,                   0,             0.65968,             0.66667,             0.57431,               0.155,            0.035052,           0.0092955,                   0,            0.002344,            0.002344,            0.002344
                 118,            0.036552,            0.017452,                   0,             0.65968,             0.66667,             0.57431,               0.155,            0.035052,           0.0092955,                   0,            0.002278,            0.002278,            0.002278
                 119,            0.046633,            0.017029,                   0,             0.48038,             0.66667,             0.52708,             0.16112,            0.035673,           0.0092871,                   0,            0.002212,            0.002212,            0.002212
                 120,            0.031292,            0.013916,                   0,             0.48038,             0.66667,             0.52708,             0.16112,            0.035673,           0.0092871,                   0,            0.002146,            0.002146,            0.002146
                 121,            0.039221,            0.024541,                   0,             0.47467,             0.66667,              0.4765,             0.16033,            0.034666,           0.0092831,                   0,             0.00208,             0.00208,             0.00208
                 122,            0.031318,            0.017583,                   0,             0.47467,             0.66667,              0.4765,             0.16033,            0.034666,           0.0092831,                   0,            0.002014,            0.002014,            0.002014
                 123,            0.030969,            0.015324,                   0,             0.55332,                 0.5,              0.4628,             0.12125,            0.035238,            0.009442,                   0,            0.001948,            0.001948,            0.001948
                 124,            0.026021,             0.01689,                   0,             0.55332,                 0.5,              0.4628,             0.12125,            0.035238,            0.009442,                   0,            0.001882,            0.001882,            0.001882
                 125,            0.049466,            0.013478,                   0,              0.5785,                 0.5,             0.45496,             0.15603,            0.035032,           0.0094981,                   0,            0.001816,            0.001816,            0.001816
                 126,            0.035477,            0.015042,                   0,              0.5785,                 0.5,             0.45496,             0.15603,            0.035032,           0.0094981,                   0,             0.00175,             0.00175,             0.00175
                 127,            0.042052,             0.01646,                   0,              0.4992,             0.66479,             0.45611,             0.14809,            0.034066,           0.0092652,                   0,            0.001684,            0.001684,            0.001684
                 128,            0.044186,            0.015732,                   0,              0.4992,             0.66479,             0.45611,             0.14809,            0.034066,           0.0092652,                   0,            0.001618,            0.001618,            0.001618
                 129,            0.035861,            0.013314,                   0,             0.42763,                 0.5,             0.44601,             0.13023,            0.035523,           0.0092961,                   0,            0.001552,            0.001552,            0.001552
                 130,            0.041657,            0.024316,                   0,             0.42763,                 0.5,             0.44601,             0.13023,            0.035523,           0.0092961,                   0,            0.001486,            0.001486,            0.001486
                 131,            0.038658,            0.016914,                   0,              0.5785,                 0.5,             0.45303,             0.14762,            0.035257,           0.0092694,                   0,             0.00142,             0.00142,             0.00142
                 132,            0.041963,            0.015798,                   0,              0.5785,                 0.5,             0.45303,             0.14762,            0.035257,           0.0092694,                   0,            0.001354,            0.001354,            0.001354
                 133,            0.043755,            0.020127,                   0,             0.58971,                 0.5,             0.51406,             0.18523,            0.034272,           0.0092442,                   0,            0.001288,            0.001288,            0.001288
                 134,            0.021523,            0.010757,                   0,             0.58971,                 0.5,             0.51406,             0.18523,            0.034272,           0.0092442,                   0,            0.001222,            0.001222,            0.001222
                 135,            0.040818,            0.027052,                   0,             0.58104,                 0.5,             0.50916,             0.19596,            0.033031,            0.009293,                   0,            0.001156,            0.001156,            0.001156
                 136,             0.03552,            0.020048,                   0,             0.58104,                 0.5,             0.50916,             0.19596,            0.033031,            0.009293,                   0,             0.00109,             0.00109,             0.00109
                 137,             0.02952,            0.014119,                   0,             0.59753,                 0.5,             0.50458,             0.18698,            0.033012,           0.0092591,                   0,            0.001024,            0.001024,            0.001024
                 138,             0.03167,            0.017209,                   0,             0.59753,                 0.5,             0.50458,             0.18698,            0.033012,           0.0092591,                   0,            0.000958,            0.000958,            0.000958
                 139,            0.036092,             0.01323,                   0,             0.59006,                 0.5,             0.50744,             0.18559,            0.032945,           0.0091088,                   0,            0.000892,            0.000892,            0.000892
                 140,            0.026004,            0.012498,                   0,             0.59006,                 0.5,             0.50744,             0.18559,            0.032945,           0.0091088,                   0,            0.000826,            0.000826,            0.000826
                 141,            0.024766,            0.010283,                   0,             0.48619,                 0.5,             0.48602,             0.17158,            0.033078,           0.0091767,                   0,             0.00076,             0.00076,             0.00076
                 142,            0.036729,            0.011826,                   0,             0.48619,                 0.5,             0.48602,             0.17158,            0.033078,           0.0091767,                   0,            0.000694,            0.000694,            0.000694
                 143,            0.020574,            0.011146,                   0,             0.59628,                 0.5,             0.50499,             0.18287,            0.032406,           0.0091696,                   0,            0.000628,            0.000628,            0.000628
                 144,            0.034015,            0.015561,                   0,             0.59628,                 0.5,             0.50499,             0.18287,            0.032406,           0.0091696,                   0,            0.000562,            0.000562,            0.000562
                 145,            0.042599,            0.019531,                   0,             0.59665,                 0.5,             0.51845,             0.18587,            0.032064,           0.0092153,                   0,            0.000496,            0.000496,            0.000496
                 146,            0.031928,            0.015812,                   0,             0.59665,                 0.5,             0.51845,             0.18587,            0.032064,           0.0092153,                   0,             0.00043,             0.00043,             0.00043
                 147,            0.034935,            0.021601,                   0,              0.5969,                 0.5,             0.52929,             0.20335,            0.031896,           0.0090298,                   0,            0.000364,            0.000364,            0.000364
                 148,             0.02365,            0.015854,                   0,              0.5969,                 0.5,             0.52929,             0.20335,            0.031896,           0.0090298,                   0,            0.000298,            0.000298,            0.000298
                 149,            0.026723,             0.01291,                   0,             0.59279,                 0.5,             0.53177,             0.19878,            0.031701,           0.0090447,                   0,            0.000232,            0.000232,            0.000232
